DCA License Number,License Type,License Expiration Date,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code
2074988-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK / NEW JERSEY, LLC","LAZ PARKING NY,NJ  LLC",420,E 20TH ST,,NEW YORK,NY,10009,212-265-2239,Manhattan,1
0965328-DCA,Business,03/31/2019,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,21010,23RD AVE,,BAYSIDE,NY,11360,9175456763,Queens,4
2051385-DCA,Business,10/03/2018,43-25 HUNTER STREET PARKING CORP.,,4325,HUNTER ST,,LONG ISLAND CITY,NY,11101,2127367171,Queens,4
2001489-DCA,Business,07/06/2018,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",,1000,5TH AVE,,NEW YORK,NY,10028,212-502-5490,Manhattan,1
1403604-DCA,Business,03/31/2019,1740 PETROLEUM LLC,,1730,JEROME AVE,,BRONX,NY,10453,718-581-7841,Bronx,2
2075038-DCA,Business,03/31/2019,SAN MIGUEL PARK CORP,,1740-1746,ANDREWS AVE,,BRONX,NY,10453,9172153295,Bronx,2
2071856-DCA,Business,07/09/2018,BRUCKNER PARKING LLC,,25,BRUCKNER BLVD,,BRONX,NY,10454,212-929-9404,Bronx,2
1333376-DCA,Business,07/06/2018,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,5817,JUNCTION BLVD,,ELMHURST,NY,11373,9175456763,Queens,4
2051269-DCA,Business,10/09/2018,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",,1113,YORK AVE,,NEW YORK,NY,10065,212-265-2239,Manhattan,1
2009038-DCA,Business,03/31/2019,LM Aldus Parking LLC,,941,Hoe Avenue,(Parking Garage Entrance at 962 Aldus Street),Bronx,NY,10459,2127143571,Bronx,2
1148650-DCA,Business,03/31/2019,WORTHY PARKING LLC,,841,10TH AVE,,NEW YORK,NY,10019,2124903460,Manhattan,1
2068286-DCA,Business,09/10/2018,2 NORTH 6TH PARKING CORP,,2,N 6TH ST,,BROOKLYN,NY,11249,2127367171,Brooklyn,3
1351985-DCA,Business,10/15/2018,CHAMPION PARKING 76 ST LLC.,,205,W 76TH ST,,NEW YORK,NY,10023,2123085959,Manhattan,1
2040594-DCA,Business,10/14/2018,CHAMPION PARKING NORTH LLC,,2917,QUEENS PLZ N,,LONG ISLAND CITY,NY,11101,212-308-5959,Queens,4
2067082-DCA,Business,09/26/2018,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",,90,FURMAN ST,,BROOKLYN,NY,11201,212-265-2239,Brooklyn,3
2004674-DCA,Business,07/16/2018,QUIK PARK CRESCENT LLC,,4308,CRESCENT ST,,LONG ISLAND CITY,NY,11101,2128322066,Queens,4
2067080-DCA,Business,10/10/2018,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",,130,FURMAN ST,,BROOKLYN,NY,11201,212-265-2239,Brooklyn,3
2060133-DCA,Business,10/16/2018,RAPID PARK HOLDING CORP,CORNELL MEDICAL CENTER,1305,YORK AVE,,NEW YORK,NY,10021,212-866-1000,Manhattan,1
2001881-DCA,Business,10/24/2018,"LAUREATE GARAGE, LLC",,2148,BROADWAY,,NEW YORK,NY,10023,2127502056,Manhattan,1
1318584-DCA,Business,10/03/2018,"325 FIFTH CAR PARK, LLC",,325,5TH AVE,,NEW YORK,NY,10016,2129966363,Manhattan,1
2067122-DCA,Business,10/08/2018,BATTERY 17 PARKING LLC,,17,BATTERY PL,,NEW YORK,NY,10004,646-773-4400,Manhattan,1
1360570-DCA,Business,07/24/2018,PARK 115TH LLC,,2131,FREDERICK DOUGLASS BLVD,,NEW YORK,NY,10026,2129799815,Manhattan,1
2028694-DCA,Business,10/16/2018,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",LAZ PARKING NY/NJ,9,W 57TH ST,,NEW YORK,NY,10019,212-265-2239,Manhattan,1
2030482-DCA,Business,10/15/2018,QUIK PARK ELY GARAGE LLC,,81,FLEET PL,,BROOKLYN,NY,11201,2128322066,Brooklyn,3
2058615-DCA,Business,03/31/2019,"IMPERIAL PARKING (U.S.), LLC",IMpark,150,NASSAU ST,,NEW YORK,NY,10038,212-937-8660,Manhattan,1
2022970-DCA,Business,10/29/2018,ROCKWELL CAR PARK LLC,,29,FLATBUSH AVE,,BROOKLYN,NY,11217,212-996-6363,Brooklyn,3
2002155-DCA,Business,09/18/2018,LAIGHT STREET PARKING  LLC,,416,WASHINGTON ST,,NEW YORK,NY,10013,212-686-9800,Manhattan,1
1218108-DCA,Business,09/12/2018,240 RIVERSIDE PARKING LLC,,240,RIVERSIDE BLVD,,NEW YORK,NY,10069,2126869800,Manhattan,1
2016643-DCA,Business,10/28/2018,MP 1775 LLC,,1775,GRAND CONCOURSE,,BRONX,NY,10453,2124903460,Bronx,2
1126970-DCA,Business,07/30/2018,CHURCH STREET PARKING LLC,,110,CHURCH ST,,NEW YORK,NY,10007,2126869800,Manhattan,1
2067837-DCA,Business,05/17/2018,"IMPERIAL PARKING (U.S.), LLC",,9525,QUEENS BLVD,,REGO PARK,NY,11374,212-937-8660,Queens,4
2067409-DCA,Business,10/24/2018,535 CARLTON AVENUE PARKING CORP,,535,CARLTON AVE,,BROOKLYN,NY,11238,212-736-7171,Brooklyn,3
2044503-DCA,Business,10/10/2018,IMPARK QB LLC,,9277,QUEENS BLVD,,REGO PARK,NY,11374,212-937-8660,Queens,4
2045551-DCA,Business,10/08/2018,QUIK PARK TRIBECA II LLC,,450,WASHINGTON ST,,NEW YORK,NY,10013,2126869800,Manhattan,1
2043135-DCA,Business,09/23/2018,"IMPERIAL PARKING (U.S)., LLC",IMPARK,155,RICHMOND TER,,STATEN ISLAND,NY,10301,7188765302,Staten Island,5
2076539-DCA,Business,03/31/2019,"IMPERIAL PARKING (U.S.), LLC",IMPARK,457,W 150TH ST,,NEW YORK,NY,10031,212-937-8660,Manhattan,1
2076559-DCA,Business,10/25/2018,THE CAR PARK OF NEW YORK LLC,,8036,COOPER AVE,,GLENDALE,NY,11385,208-336-6597,Queens,4
2068058-DCA,Business,08/14/2018,THE CAR PARK OF NEW YORK LLC,,9015,QUEENS BLVD,,ELMHURST,NY,11373,208-336-6597,Queens,4
2041688-DCA,Business,08/12/2018,58TH & 7TH PARKING LLC,,157,W 57TH ST,,NEW YORK,NY,10019,2126869800,Manhattan,1
2063760-DCA,Business,08/15/2018,786 PARKING CORP,,3710,CRESCENT ST,,LONG ISLAND CITY,NY,11101,7186180029,Queens,4
1464646-DCA,Business,08/15/2018,DISCOVER 97 PARKING LLC,,750,COLUMBUS AVE,,NEW YORK,NY,10025,2126869800,Manhattan,1
2047628-DCA,Business,08/12/2018,7 WEST 21 PARKING LLC,,7,W 21ST ST,,NEW YORK,NY,10010,212-888-7400,Manhattan,1
2040751-DCA,Business,08/12/2018,786 PARKING CORP,,250,E 144TH ST,,BRONX,NY,10451,7186180029,Bronx,2
2019935-DCA,Business,03/31/2019,SP PLUS CORPORATION,,211,W 87TH ST,,NEW YORK,NY,10024,2125055490,Manhattan,1
1425382-DCA,Business,11/14/2018,34 NORTH 7TH PARKING CORP.,,34,N 7TH ST,,BROOKLYN,NY,11249,2127367171,Brooklyn,3
1338623-DCA,Business,11/15/2018,QUIK PARK HUDSON 180 LLC,,180,RIVERSIDE BLVD,,NEW YORK,NY,10069,2128322066,Manhattan,1
2017912-DCA,Business,03/31/2019,SP PLUS CORPORATION,,455,MADISON AVE,,NEW YORK,NY,10022,2125055490,Manhattan,1
2050925-DCA,Business,11/07/2018,SUPER ELITE PARKING INC,,1973,38TH ST,,ASTORIA,NY,11105,3474855287,Queens,4
1468256-DCA,Business,11/13/2018,1745 BROADWAY PARKING MANAGEMENT CORP.,,1745,BROADWAY,,NEW YORK,NY,10019,2127367171,Manhattan,1
2022433-DCA,Business,03/31/2019,SP PLUS CORPORATION,,200,CENTRAL PARK W,,NEW YORK,NY,10024,2125055490,Manhattan,1
2055928-DCA,Business,03/31/2019,SP PLUS CORPORATION,,9844,57TH AVE,,CORONA,NY,11368,2125055490,Queens,4
2054793-DCA,Business,03/31/2019,SP PLUS CORPORATION,,1292,PARK AVE,,NEW YORK,NY,10029,2125055490,Manhattan,1
2019936-DCA,Business,03/31/2019,SP PLUS CORPORATION,,910,9TH AVE,,NEW YORK,NY,10019,2125055490,Manhattan,1
2017907-DCA,Business,03/31/2017,SP PLUS CORPORATION,,1420,YORK AVE,,NEW YORK,NY,10021,2125055490,Manhattan,1
2033061-DCA,Business,03/31/2019,SP PLUS CORPORATION,,200,PARK AVE,,NEW YORK,NY,10166,2125055490,Manhattan,1
2017911-DCA,Business,03/31/2019,SP PLUS CORPORATION,,375,PARK AVE,,NEW YORK,NY,10152,2125055490,Manhattan,1
2017913-DCA,Business,03/31/2017,SP PLUS CORPORATION,,380,LENOX AVE,,NEW YORK,NY,10027,2125055490,Manhattan,1
2069760-DCA,Business,08/22/2018,PV PARKING VI CORP,,371,HUMBOLDT ST,,BROOKLYN,NY,11211,646-302-4330,Brooklyn,3
2021503-DCA,Business,03/31/2017,SP PLUS CORPORATION,,140,W 28TH ST,,NEW YORK,NY,10001,2125055490,Manhattan,1
2055914-DCA,Business,11/01/2018,560 W 43RD STREET PARKING CORP,,555,W 42ND ST,,NEW YORK,NY,10036,,Manhattan,1
2021755-DCA,Business,03/31/2019,SP PLUS CORPORATION,,6575,SAUNDERS ST,,REGO PARK,NY,11374,2125055490,Queens,4
2075363-DCA,Business,03/31/2019,SP PLUS CORPORATION,,1500,UNIONPORT RD,,BRONX,NY,10462,2125055490,Bronx,2
2034908-DCA,Business,10/25/2018,QUIK PARK 365 MANAGEMENT LLC,,365,BOND ST,,BROOKLYN,NY,11231,2128322066,Brooklyn,3
2026632-DCA,Business,08/27/2018,QUIK PARK HUDSON LLC,,160,RIVERSIDE BLVD,,NEW YORK,NY,10069,212-686-9800,Manhattan,1
1217500-DCA,Business,10/23/2018,220 RIVERSIDE PARKING LLC,,220,RIVERSIDE BLVD,,NEW YORK,NY,10069,2126869800,Manhattan,1
1390617-DCA,Business,11/22/2018,PARK KWIK LLC,,770,11TH AVE,,NEW YORK,NY,10019,2129745840,Manhattan,1
2030256-DCA,Business,09/24/2018,QUIK PARK HUDSON VI LLC,,40,RIVERSIDE BLVD,,NEW YORK,NY,10069,212-686-9800,Manhattan,1
2001236-DCA,Business,08/27/2018,QUIK PARK HUDSON LLC,,140,RIVERSIDE BLVD,,NEW YORK,NY,10069,212-686-9800,Manhattan,1
1408023-DCA,Business,10/15/2018,QUIK PARK 775 GARAGE LLC,,775,COLUMBUS AVE,,NEW YORK,NY,10025,2128322066,Manhattan,1
2059576-DCA,Business,11/12/2018,21ST AND 11TH PARKING LLC,,551,W 21ST ST,,NEW YORK,NY,10011,212-686-9800,Manhattan,1
2070176-DCA,Business,08/23/2018,"LAZ PARKING NEW YORK, NEW JERSEY LLC",,1283,YORK AVE,,NEW YORK,NY,10065,2122652239,Manhattan,1
2054332-DCA,Business,10/08/2018,LIBERTY VIEW PARKING LLC,,2,RIVER TER,,NEW YORK,NY,10282,2128422305,Manhattan,1
1306478-DCA,Business,10/22/2018,100 RIVERSIDE PARKING LLC,,100,RIVERSIDE BLVD,,NEW YORK,NY,10069,2126869800,Manhattan,1
2073944-DCA,Business,10/08/2018,RIVERSIDE CENTER PARKING LLC,,1,W END AVE,,NEW YORK,NY,10023,2126869800,Manhattan,1
2032762-DCA,Business,08/27/2018,"ABM PARKING SERVICES, INC",,450,E 29TH ST,,NEW YORK,NY,10016,,Manhattan,1
1118320-DCA,Business,03/31/2019,"280 BROADWAY CAR PARK, LLC",GGMC,280,BROADWAY,,NEW YORK,NY,10007,2129966363,Manhattan,1
1389587-DCA,Business,03/31/2019,GM&M PARK INC.,,110,BROADWAY,,BROOKLYN,NY,11211,6466100315,Brooklyn,3
2028476-DCA,Business,08/28/2018,QUIK PARK 801 GARAGE LLC,,801,AMSTERDAM AVE,,NEW YORK,NY,10025,212-222-3289,Manhattan,1
2046303-DCA,Business,10/07/2018,BROOKLYN METRO PARKING LLC,,100,WILLOUGHBY ST,,BROOKLYN,NY,11201,2126869800,Brooklyn,3
1263170-DCA,Business,09/26/2018,CLINTON 53 PARKING LLC,,515,W 52ND ST,,NEW YORK,NY,10019,2126869800,Manhattan,1
2070019-DCA,Business,11/28/2018,59-61 WEST 36TH STREET PARKING CORP,,59,W 36TH ST,,NEW YORK,NY,10018,212-736-7171,Manhattan,1
2021796-DCA,Business,08/29/2018,QUIK PARK GEM GARAGE LLC,,44,W 47TH ST,,NEW YORK,NY,10036,212-832-2066,Manhattan,1
1371377-DCA,Business,03/31/2019,GM&M PARK INC.,,116,NOSTRAND AVE,,BROOKLYN,NY,11205,6466100315,Brooklyn,3
2076434-DCA,Business,08/28/2018,"ONE PARKING RC, INC.",,10,ROCKEFELLER PLZ,,NEW YORK,NY,10020,480-272-2100,Manhattan,1
2068797-DCA,Business,10/25/2018,MODA CAR PARK LLC,,8914,PARSONS BLVD,,JAMAICA,NY,11432,212-996-6363,Queens,4
2004864-DCA,Business,03/31/2019,157-57TH INC,,153,E 57TH ST,,NEW YORK,NY,10022,2122232838,Manhattan,1
2050330-DCA,Business,10/23/2018,PARK KWIK LLC,,286,ASHLAND PL,,BROOKLYN,NY,11217,718-855-1730,Brooklyn,3
1300931-DCA,Business,10/22/2018,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",,1,FORDHAM PLZ,,BRONX,NY,10458,212-265-2239,Bronx,2
2059451-DCA,Business,10/24/2018,PARK KWIK LLC,,325,KENT AVE,,BROOKLYN,NY,11249,718-855-1730,Brooklyn,3
1418529-DCA,Business,10/07/2018,QUIK PARK WATER STREET LLC,,95,WALL ST,,NEW YORK,NY,10005,2128322066,Manhattan,1
2068315-DCA,Business,11/12/2018,LM WOLVERINE PARKING LLC.,,282,S 5TH ST,,BROOKLYN,NY,11211,2127143571,Brooklyn,3
2030868-DCA,Business,08/29/2018,455 CPW PARKING CORP,,455,CENTRAL PARK W,,NEW YORK,NY,10025,2127367171,Manhattan,1
2004862-DCA,Business,03/31/2019,157-57TH  INC,,157,E 57TH ST,,NEW YORK,NY,10022,9178435910,Manhattan,1
2034507-DCA,Business,09/24/2018,QUIK PARK 150 CHARLES STREET GARAGE LLC,,150,CHARLES ST,,NEW YORK,NY,10014,212-832-2066,Manhattan,1
1242325-DCA,Business,11/11/2018,"OCHRE CAR PARK, LLC",,625,ATLANTIC AVE,,BROOKLYN,NY,11217,2129966363,Brooklyn,3
2003571-DCA,Business,03/31/2019,"ONE PARKING GOTHAM, INC.",,4209,28TH ST,,LONG ISLAND CITY,NY,11101,2123706530,Queens,4
2054343-DCA,Business,08/29/2018,BELLTELL 365 PARKING LLC,,365,BRIDGE ST,,BROOKLYN,NY,11201,82-1130031,Brooklyn,3
2038250-DCA,Business,08/27/2018,"87-10 NORTHERN BLVD PARKING, LLC",,3306,88TH ST,,JACKSON HEIGHTS,NY,11372,9175924762,Queens,4
2072499-DCA,Business,09/18/2018,38 SIXTH AVENUE PARKING CORP,,38,6TH AVE,,BROOKLYN,NY,11217,212-736-7171,Brooklyn,3
2029261-DCA,Business,03/31/2019,QB 71ST AVENUE PARKING LLC,ALL COUNTS PARKING,10820,71ST AVE,,FOREST HILLS,NY,11375,7187865555,Queens,4
2068483-DCA,Business,08/23/2018,QUEENS LIC PARKING LLC,,3002,39TH AVE,,LONG ISLAND CITY,NY,11101,212-686-9800,Queens,4
2077653-DCA,Business,11/21/2018,"LAZ PARKING NEW YORK, NEW JERSEY LLC","LAZ PARKING NY, NJ LLC",120,NASSAU ST,,BROOKLYN,NY,11201,2122652239,Brooklyn,3
1227121-DCA,Business,12/04/2018,CHAMPION PARKING 39 LLC,,102,W 39TH ST,,NEW YORK,NY,10018,2128529033,Manhattan,1
2013149-DCA,Business,09/05/2018,PF PARKING CORP.,,24,LEONARD ST,,NEW YORK,NY,10013,5163781222,Manhattan,1
1356563-DCA,Business,09/05/2018,100 RIVERSIDE PARKING LLC,,120,RIVERSIDE BLVD,,NEW YORK,NY,10069,2126869800,Manhattan,1
2058396-DCA,Business,10/22/2018,ONE PARKING 40TH STREET INC,,225,E 39TH ST,,NEW YORK,NY,10016,480-272-2100,Manhattan,1
0888338-DCA,Business,09/02/2018,INNOVATIVE PARKING LLC,,301,E 40TH ST,,NEW YORK,NY,10016,212-686-9800,Manhattan,1
2064187-DCA,Business,12/03/2018,254 WEST 79TH STREET PARKING CORP,,252,W 79TH ST,,NEW YORK,NY,10024,212-736-7171,Manhattan,1
1251237-DCA,Business,09/05/2018,"125 VERTICAL PARKING GROUP, LLC",,123,BAXTER ST,,NEW YORK,NY,10013,2129562280,Manhattan,1
0974498-DCA,Business,11/29/2018,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,8801,QUEENS BLVD,,ELMHURST,NY,11373,2125025490,Queens,4
2009327-DCA,Business,11/15/2018,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",,3916,PRINCE ST,,FLUSHING,NY,11354,212-265-2239,Queens,4
2077757-DCA,Business,03/31/2019,ROGAR LLC,,280,BROADWAY,,NEW YORK,NY,10007,2129299404,Manhattan,1
2023311-DCA,Business,09/25/2018,PARK KWIK LLC,,60,WATER ST,,BROOKLYN,NY,11201,718-855-1730,Brooklyn,3
2046044-DCA,Business,09/02/2018,C & C Parking LLC,,899,WESTCHESTER AVE,,BRONX,NY,10459,,Bronx,2
2077583-DCA,Business,03/31/2019,BROOKLYN BRIDGE GARAGE LLC,,360,FURMAN ST,,BROOKLYN,NY,11201,6465840409,Brooklyn,3
2075368-DCA,Business,11/29/2018,ENTERPRISE 57 PARKING LLC,,606,W 57TH ST,,NEW YORK,NY,10019,,Manhattan,1
2077313-DCA,Business,03/31/2019,157-53 PARKING CORP,,157,E 57TH ST,,NEW YORK,NY,10022,6464639403,Manhattan,1
1345532-DCA,Business,09/02/2018,QUIK PARK 808 GARAGE LLC,,808,COLUMBUS AVE,,NEW YORK,NY,10025,2128322066,Manhattan,1
2070275-DCA,Business,12/04/2018,149 KENT AVENUE PARKING CORP,,149,KENT AVE,,BROOKLYN,NY,11249,212-736-7171,Brooklyn,3
2044855-DCA,Business,11/14/2016,BAJRAKTARI REALTY MANAGEMENT CORP,,617,East 188th Street,,Bronx,NY,10458,7183654310,Bronx,2
0962029-DCA,Business,03/31/2015,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,169,CADMAN PLZ W,,BROOKLYN,NY,11201,2126296602,Brooklyn,3
2021442-DCA,Business,03/31/2019,G & K PARKING GARAGE INC.,,1208,FRANKLIN AVE,,BRONX,NY,10456,718-235-4975,Bronx,2
2018820-DCA,Business,03/31/2019,"D&J UNION PLAZA PARKING, LLC",,3819,UNION ST,,FLUSHING,NY,11354,3474539548,Queens,4
2021566-DCA,Business,03/31/2019,PARKING VERNON LLC,,3085,VERNON BLVD,,ASTORIA,NY,11102,2015678110,Queens,4
0899288-DCA,Business,03/31/2019,POO PARKING CORP.,,1752,MORRIS AVE,,BRONX,NY,10457,2127536116,Bronx,2
1132131-DCA,Business,03/31/2019,250 WEST PARKING CORP.,,250,W 19TH ST,,NEW YORK,NY,10011,2127367171,Manhattan,1
2031064-DCA,Business,03/31/2019,PRO PARK AMERICA NEW YORK LLC,,256,UTICA AVE,,BROOKLYN,NY,11213,2125313418,Brooklyn,3
2005027-DCA,Business,03/31/2017,162 PARKING MGMT LLC.,,528,W 162ND ST,,NEW YORK,NY,10032,,Manhattan,1
0954109-DCA,Business,03/31/2015,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,147,W 83RD ST,,NEW YORK,NY,10024,2125025490,Manhattan,1
1146716-DCA,Business,03/31/2015,BROTHERS CAR PARK LLC,,180,MONTAGUE ST,,BROOKLYN,NY,11201,2122216111,Brooklyn,3
1303088-DCA,Business,03/31/2015,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,215,S END AVE,,NEW YORK,NY,10280,2125025490,Manhattan,1
1452993-DCA,Business,03/31/2019,SAB PARKING INC.,,200,E END AVE,,NEW YORK,NY,10128,6468610883,Manhattan,1
1172406-DCA,Business,03/31/2019,PARK KWIK LLC,,55,WASHINGTON ST,,BROOKLYN,NY,11201,718-855-1730,Brooklyn,3
1470081-DCA,Business,03/31/2019,"KINNEY PARKING SYSTEM, LLC",,2500,JOHNSON AVE,,BRONX,NY,10463,2124450172,Bronx,2
1470216-DCA,Business,03/31/2019,KK ENTERPRISE GROUP INC.,,554,W 182ND ST,,NEW YORK,NY,10033,6466100315,Manhattan,1
2031081-DCA,Business,03/31/2019,A & Z BUSINESS CORP.,,700,GRAND CONCOURSE,,BRONX,NY,10451,9148743268,Bronx,2
1312358-DCA,Business,03/31/2017,337 PARKING LLC,,337,E 64TH ST,,NEW YORK,NY,10065,2128799796,Manhattan,1
1292558-DCA,Business,03/31/2017,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,401,W 110TH ST,,NEW YORK,NY,10025,9175456763,Manhattan,1
1384333-DCA,Business,03/31/2017,"C21 PARKING MGMT, LLC",,416,87TH ST,,BROOKLYN,NY,11209,212-795-7275,Brooklyn,3
1326545-DCA,Business,03/31/2015,QUIK PARK BPC LLC,QUIK PARK INC.,70,LITTLE WEST ST,,NEW YORK,NY,10004,2128322066,Manhattan,1
1382589-DCA,Business,12/16/2015,"STRAND PARKING MGMT, LLC",,500,W 43RD ST,,NEW YORK,NY,10036,2127957275,Manhattan,1
1002786-DCA,Business,03/31/2019,111 EIGHTH AVENUE PARKING LLC,,111,8TH AVE,,NEW YORK,NY,10011,2126869800,Manhattan,1
2019546-DCA,Business,03/31/2017,GMH PARK INC,,2330,HOFFMAN ST,,BRONX,NY,10458,9172140583,Bronx,2
0976815-DCA,Business,03/31/2015,"WILSHIRE CAR PARK, INC.",,18230,WEXFORD TER,,JAMAICA,NY,11432,2122216111,Queens,4
1117862-DCA,Business,01/11/2017,DYNAMIC PARKING LLC,,222,E 41ST ST,,NEW YORK,NY,10017,2126869800,Manhattan,1
1111678-DCA,Business,03/31/2015,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,120,W 21ST ST,,NEW YORK,NY,10011,2126296602,Manhattan,1
1362221-DCA,Business,03/31/2019,CFS 2907 JFK LLC,AVISTAR AIRPORT PARKING,13024,S CONDUIT AVE,,JAMAICA,NY,11430,7183222221,Queens,4
1130359-DCA,Business,03/31/2015,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,403,E 60TH ST,,NEW YORK,NY,10022,2126296602,Manhattan,1
0971313-DCA,Business,03/31/2015,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,135,E 47TH ST,,NEW YORK,NY,10017,2126296602,Manhattan,1
0976075-DCA,Business,03/31/2019,PREMIER PARKING LLC,,203,E 61ST ST,,NEW YORK,NY,10065,2126869800,Manhattan,1
1215113-DCA,Business,03/31/2015,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,500,5TH AVE,,BROOKLYN,NY,11215,7183698185,Brooklyn,3
2009474-DCA,Business,03/31/2017,100 Varick Realty LLC,403 East 60th Street Parking LLC,403,E 60TH ST,,NEW YORK,NY,10022,2125343939,Manhattan,1
2000589-DCA,Business,03/31/2015,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,115,FORT WASHINGTON AVE,,NEW YORK,NY,10032,2125025490,Manhattan,1
2026962-DCA,Business,03/31/2017,GMH PARK INC,,5229,BROADWAY,,BRONX,NY,10463,9172140583,Bronx,2
1468063-DCA,Business,03/31/2015,"KINNEY PARKING SYSTEM, LLC",,56,N MOORE ST,,NEW YORK,NY,10013,2125025490,Manhattan,1
2001481-DCA,Business,03/31/2019,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",,500,5TH ST,,BROOKLYN,NY,11215,212-502-5490,Brooklyn,3
1127531-DCA,Business,03/31/2015,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,330,E 61ST ST,,NEW YORK,NY,10065,2126296602,Manhattan,1
0780839-DCA,Business,03/31/2019,PRIMARY PARKING LLC,,721,10TH AVE,,NEW YORK,NY,10019,2126869800,Manhattan,1
1386662-DCA,Business,03/31/2015,TODAY PARKING CORP.,,284,DYCKMAN ST,,NEW YORK,NY,10034,2125696249,Manhattan,1
1463445-DCA,Business,03/31/2015,"KINNEY PARKING SYSTEM, LLC",,38,W 46TH ST,,NEW YORK,NY,10036,2125025490,Manhattan,1
2027514-DCA,Business,08/02/2016,SHERWOOD 21 GARAGE LLC,SHERWOOD 21 GARAGE LLC,500,W 21ST ST,,NEW YORK,NY,10011,2129808000,Manhattan,1
2045993-DCA,Business,03/31/2019,MKN PARKING CORP,,1355,CROMWELL AVE,,BRONX,NY,10452,6466516335,Bronx,2
1107288-DCA,Business,03/31/2015,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,27,W 52ND ST,,NEW YORK,NY,10019,2126296602,Manhattan,1
1263718-DCA,Business,03/31/2019,WETHEROLE LLC,,6574,WETHEROLE ST,,REGO PARK,NY,11374,7188969896,Queens,4
1269177-DCA,Business,03/31/2019,QUIK PARK BROADWAY GARAGE LLC,,225,W 56TH ST,,NEW YORK,NY,10019,2128322066,Manhattan,1
0368238-DCA,Business,03/31/2019,NEW YORK PARKING 56TH ST. CORP,,65,W 56TH ST,,NEW YORK,NY,10019,212-249-3349,Manhattan,1
2004972-DCA,Business,03/31/2017,189 park llc,,4741,PARK AVE,,BRONX,NY,10458,917-731-2034,Bronx,2
1135161-DCA,Business,03/31/2015,WEST SIDE PARKING CORP.,,432,WASHINGTON ST,,NEW YORK,NY,10013,2122748513,Manhattan,1
1369473-DCA,Business,03/31/2015,PARK RIGHT CORPORATION,,307,SAINT MARKS AVE,,BROOKLYN,NY,11238,2122624771,Brooklyn,3
1463456-DCA,Business,03/31/2015,"KINNEY PARKING SYSTEM, LLC",,135,E 33RD ST,,NEW YORK,NY,10016,2125025490,Manhattan,1
2031030-DCA,Business,03/31/2017,"IMPERIAL PARKING (U.S.), LLC",IMPARK,500,4TH AVE,,BROOKLYN,NY,11215,212-934-8660,Brooklyn,3
1381712-DCA,Business,03/31/2019,CARTER AVE PARKING CORP.,,1841,CARTER AVE,,BRONX,NY,10457,3475979366,Bronx,2
2023738-DCA,Business,03/12/2017,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",,50,OCEANA DR W,,BROOKLYN,NY,11235,2126954568,Brooklyn,3
2051013-DCA,Business,03/31/2019,LENOX 65 PARKING LLC,,1189,1ST AVE,,NEW YORK,NY,10065,2126869800,Manhattan,1
1181493-DCA,Business,03/31/2019,UPTOWN PARKING LLC,,201,E 63RD ST,,NEW YORK,NY,10065,212-686-9800,Manhattan,1
1029322-DCA,Business,03/31/2015,STANDARD PARKING CORPORATION,,200,CENTRAL PARK W,,NEW YORK,NY,10024,2123137275,Manhattan,1
2016720-DCA,Business,03/31/2019,MONTAGUE PARKING LLC,,180,MONTAGUE ST,,BROOKLYN,NY,11201,2126869800,Brooklyn,3
2019772-DCA,Business,03/31/2019,QUIK PARK KESTREL PARKING LLC,,29,CATON PL,,BROOKLYN,NY,11218,212-686-9800,Brooklyn,3
1293275-DCA,Business,03/31/2017,CREST CAR PARK LLC,,302,2ND ST,,BROOKLYN,NY,11215,718-499-1235,Brooklyn,3
0962865-DCA,Business,03/31/2015,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,25,W 48TH ST,,NEW YORK,NY,10020,2126296602,Manhattan,1
2016406-DCA,Business,03/31/2019,SJS 39 AVENUE PARKING LLC,,3907,PRINCE ST,,FLUSHING,NY,11354,718-886-4035,Queens,4
